Other Significant Conditions (Highest to Lowest):

Condition: None, Count: 636
Condition: N/A, Count: 193
Condition: Depression, Count: 21
Condition: Major depressive disorder, Count: 16
Condition: Bipolar disorder, Count: 6
Condition: Depression; anxiety, Count: 6
Condition: History of depression, Count: 5
Condition: Reported depression, Count: 4
Condition: none, Count: 4
Condition: Depression with prior suicidal ideation, Count: 3
Condition: Adjustment disorder with mixed disturbance of emotions and conduct, Count: 3
Condition: Insomnia, Count: 3
Condition: Bipolar 1 disorder, Count: 3
Condition: Unspecified psychiatric disorder, Count: 2
Condition: Depression; post-traumatic stress disorder, Count: 2
Condition: Schizophrenia, Count: 2
Condition: Depressive disorder, Count: 2
Condition: Major depressive disorder; anxiety, Count: 2
Condition: Clinical depression, Count: 2
Condition: Schizoaffective disorder, Count: 2
Condition: Chronic obstructive pulmonary disease, Count: 2
Condition: Clinical history of depression, Count: 2
Condition: Metastatic prostate cancer, Count: 2
Condition: No, Count: 2
Condition: Mood disorder; not otherwise specified, Count: 2
Condition: Chronic ethanol use, Count: 2
Condition: Reported history of depression, Count: 2
Condition: Hypertension; class 1 obesity; depression, Count: 1
Condition: Severe Obesity, Count: 1
Condition: Mood disorder with suicidal ideation, Count: 1
Condition: Attention-Deficit/Hyperactivity Disorder, Count: 1
Condition: Major depressive disorder; recurrent severe; with prior suicide attempt(s) and suicidal ideation, Count: 1
Condition: Depression and anxiety; prior reported suicide attempts, Count: 1
Condition: Major depressive disorder with recent suicide attempts; anxiety disorder; antiphospholipid syndrome complicated by chronic lower extremity wounds; lupus, Count: 1
Condition: Hypertension; diabetes mellitus type II (insulin dependent) with diabetic nephropathy; hepatitis C; squamous cell carcinoma of larynx; bipolar disorder, Count: 1
Condition: Combined adverse effects of oxycodone and diazepam, Count: 1
Condition: Major depressive disorder; Bipolar 1 disorder, Count: 1
Condition: Anxiety disorder; major depressive disorder, Count: 1
Condition: Dilated cardiomyopathy; probable psychosis in the setting of stimulant use, Count: 1
Condition: Anxiety, Count: 1
Condition: Metastatic small cell carcinoma to include tension hydrothorax, Count: 1
Condition: Bipolar disorder type II complicated by suicidal ideation, Count: 1
Condition: Self-reported abuse at home (suicide note), Count: 1
Condition: Substance induced mood disorder with recent self-inflicted stab wounds of chest, Count: 1
Condition: Reported bipolar disorder and depression, Count: 1
Condition: Reportedly depression (COVID-19 pandemic related) with suicidal ideations, Count: 1
Condition: Chronic kidney disease; Diabetes Mellitus; Hypertension and Cardiac dysrhythmia, Count: 1
