Other Significant Conditions (Highest to Lowest) with Percentages:

Condition: None, Count: 636, Percentage: 52.0%
Condition: N/A, Count: 193, Percentage: 15.78%
Condition: Depression, Count: 21, Percentage: 1.72%
Condition: Major depressive disorder, Count: 16, Percentage: 1.31%
Condition: Depression; anxiety, Count: 6, Percentage: 0.49%
Condition: Bipolar disorder, Count: 6, Percentage: 0.49%
Condition: History of depression, Count: 5, Percentage: 0.41%
Condition: none, Count: 4, Percentage: 0.33%
Condition: Reported depression, Count: 4, Percentage: 0.33%
Condition: Bipolar 1 disorder, Count: 3, Percentage: 0.25%
Condition: Insomnia, Count: 3, Percentage: 0.25%
Condition: Depression with prior suicidal ideation, Count: 3, Percentage: 0.25%
Condition: Adjustment disorder with mixed disturbance of emotions and conduct, Count: 3, Percentage: 0.25%
Condition: Chronic ethanol use, Count: 2, Percentage: 0.16%
Condition: Mood disorder; not otherwise specified, Count: 2, Percentage: 0.16%
Condition: Major depressive disorder; anxiety, Count: 2, Percentage: 0.16%
Condition: Clinical history of depression, Count: 2, Percentage: 0.16%
Condition: Depressive disorder, Count: 2, Percentage: 0.16%
Condition: Clinical depression, Count: 2, Percentage: 0.16%
Condition: Reported history of depression, Count: 2, Percentage: 0.16%
Condition: Metastatic prostate cancer, Count: 2, Percentage: 0.16%
Condition: No, Count: 2, Percentage: 0.16%
Condition: Schizoaffective disorder, Count: 2, Percentage: 0.16%
Condition: Chronic obstructive pulmonary disease, Count: 2, Percentage: 0.16%
Condition: Unspecified psychiatric disorder, Count: 2, Percentage: 0.16%
Condition: Schizophrenia, Count: 2, Percentage: 0.16%
Condition: Depression; post-traumatic stress disorder, Count: 2, Percentage: 0.16%
Condition: Recurrent major depressive disorder with prior suicide attempts, Count: 1, Percentage: 0.08%
Condition: Obesity; depressive type schizoaffective disorder, Count: 1, Percentage: 0.08%
Condition: Adjustment disorder with disturbance of conduct, Count: 1, Percentage: 0.08%
Condition: History of chronic pain due to multiple comorbidities, Count: 1, Percentage: 0.08%
Condition: Depression disorder; anxiety, Count: 1, Percentage: 0.08%
Condition: Fulminant liver failure due to acute hepatitis of uncertain etiology, Count: 1, Percentage: 0.08%
Condition: Major depressive disorder; combined effects of ethanol and gabapentin, Count: 1, Percentage: 0.08%
Condition: Huntington disease; depression with prior suicide attempts; post-traumatic stress disorder; anxiety disorder, Count: 1, Percentage: 0.08%
Condition: Reported history of anxiety/depression, Count: 1, Percentage: 0.08%
Condition: Hypertension; obesity; chronic pain; anxiety; depression; insomnia; superficial incised wounds of wrists, Count: 1, Percentage: 0.08%
Condition: Guillain Barre syndrome; metastatic melanoma; anxiety; depression, Count: 1, Percentage: 0.08%
Condition: Unspecified psychotic disorder; cocaine use disorder; history of huffing, Count: 1, Percentage: 0.08%
Condition: Adjustment disorder with mixed disturbance of emotions and conduct; depressive disorder, Count: 1, Percentage: 0.08%
Condition: Gastroesophegeal junction adenocarcinoma; hypertensive and atherosclerotic cardiovascular disease; chronic obstructive pulmonary disease, Count: 1, Percentage: 0.08%
Condition: Recurrent major depression, Count: 1, Percentage: 0.08%
Condition: Major depressive disorder; recent suicidal ideations; recent suicide attempt (08/02/2022); work stress, Count: 1, Percentage: 0.08%
Condition: Sharp force injuries of abdomen; major depressive disorder with recent suicide attempt; alcohol use disorder; opiate use disorder; benzodiazepine use disorder, Count: 1, Percentage: 0.08%
Condition: Attention deficit/Hyperactivity disorder; legal stress (criminal), Count: 1, Percentage: 0.08%
Condition: Depression with recent suicide attempt; chronic obstructive pulmonary disease; pulmonary mycobacterium avium complex infection; chronic heart failure; hypertension; cachexia, Count: 1, Percentage: 0.08%
Condition: Sharp force injury of abdomen (per report), Count: 1, Percentage: 0.08%
Condition: Incised wounds of wrist and neck; schizoaffective disorder, Count: 1, Percentage: 0.08%
Condition: Anxiety; Depression, Count: 1, Percentage: 0.08%
Condition: Schizophrenia and clinical depression, Count: 1, Percentage: 0.08%
Condition: Depressive disorder with prior suicide attempt(s); atherosclerotic cardiovascular disease; hypertension; chronic obstructive pulmonary disease, Count: 1, Percentage: 0.08%
Condition: Schizoaffective disorder; bipolar type with multiple prior episodes of suicidal ideation, Count: 1, Percentage: 0.08%
Condition: Psychotic disorder not otherwise specified; Depression, Count: 1, Percentage: 0.08%
Condition: Methamphetamine toxicity; Bipolar disorder with multiple psychiatric holds, Count: 1, Percentage: 0.08%
Condition: Recurrent severe major depressive disorder with psychotic features; recent suicide ideation, Count: 1, Percentage: 0.08%
Condition: History of suicide attempts; Schizoaffective disorder (depressive type); panic disorder; class 2 obesity, Count: 1, Percentage: 0.08%
Condition: Paranoid schizophrenia; hypertensive cardiovascular disease; class 3 obesity, Count: 1, Percentage: 0.08%
Condition: Major depressive disorder; postpartum onset with psychotic features; suicidal behavior with attempted self injury, Count: 1, Percentage: 0.08%
Condition: Reported history of attention deficit hyperactivity disorder, Count: 1, Percentage: 0.08%
Condition: Hypertensive cardiovascular disease; severe obesity; multiple reported stressors to include financial stress, Count: 1, Percentage: 0.08%
Condition: Schizoaffective disorder; bipolar type; with recent psychiatric hold; bipolar disorder; coronary artery disease; hypertensive cardiovascular disease, Count: 1, Percentage: 0.08%
Condition: Major depressive disorder recurrent severe; with history of prior suicide attempts and suicidal ideations, Count: 1, Percentage: 0.08%
Condition: Multiple sclerosis with spastic triplegia, Count: 1, Percentage: 0.08%
Condition: Chronic pain; major depressive disorder; schizoaffective disorder; bipolar type; asthma; class 2 obesity, Count: 1, Percentage: 0.08%
Condition: Reported chronic back pain, Count: 1, Percentage: 0.08%
Condition: Depression with anxiety, Count: 1, Percentage: 0.08%
